KIC,DPi1,dpi_e,dpi_E,q,q_e,q_E,eps_g,eps_g_e,eps_g_E,drot,drot_e,drot_E,feh,mass,mass_std
1027337,70.243,0.065,0.045,0.077,0.016,0.022,-0.015,0.144,0.1,0.0,0.0,0.0,0.208,1.304,0.08
1430118,83.029,0.027,0.439,0.155,0.014,0.022,0.33,0.288,0.034,0.279,0.045,0.188,-0.158,1.051,0.057
1433803,80.221,0.01,0.268,0.138,0.019,0.016,0.039,0.109,0.022,0.399,0.174,0.442,0.263,1.231,0.07
1569842,80.708,0.144,0.079,0.155,0.018,0.017,0.195,0.134,0.105,0.366,0.027,0.03,-0.28,0.984,0.057
1719422,76.931,0.009,0.027,0.139,0.007,0.004,0.414,0.033,0.008,0.268,0.009,0.007,-0.282,1.282,0.074
1723752,83.938,0.025,0.025,0.16,0.006,0.005,0.206,0.022,0.013,0.671,0.016,0.025,-0.161,1.332,0.075
1723843,72.875,0.007,0.005,0.16,0.008,0.009,0.189,0.004,0.01,0.486,0.008,0.009,-0.253,1.491,0.089
1726291,82.546,0.018,0.023,0.176,0.019,0.001,0.29,0.025,0.013,0.541,0.016,0.016,-0.379,0.934,0.054
1870196,85.21,0.233,0.013,0.147,0.005,0.01,0.124,0.009,0.172,0.333,0.011,0.047,-0.008,1.182,0.065
1996078,70.976,0.1,0.012,0.164,0.025,0.015,-0.238,0.012,0.213,0.3,0.01,0.042,-0.128,1.219,0.073
1996415,79.184,0.089,0.077,0.136,0.027,0.027,0.227,0.107,0.071,0.0,0.0,0.0,0.1,1.13,0.064
2011891,76.816,0.036,0.092,0.119,0.017,0.021,0.189,0.097,0.021,0.294,0.018,0.208,0.24,1.236,0.073
2018537,80.694,0.008,0.064,0.144,0.011,0.014,0.334,0.029,0.016,0.226,0.026,0.006,0.239,1.333,0.077
2141255,81.146,0.006,0.04,0.17,0.016,0.01,0.186,0.031,0.01,0.538,0.02,0.018,-0.237,1.116,0.063
2141436,77.753,0.01,0.018,0.136,0.008,0.013,0.141,0.024,0.007,0.345,0.009,0.009,,,
2157650,77.598,0.023,0.112,0.12,0.015,0.028,0.221,0.138,0.003,0.637,0.052,0.024,0.106,1.313,0.073
2160910,77.491,0.065,0.027,0.142,0.006,0.02,0.116,0.067,0.068,0.455,0.005,0.017,,,
